recording_id	performer_id	role	source_id	confidence	review_status
REC000669	PER000302	primary_performer	SRC0001	medium	staged
REC000696	PER000302	primary_performer	SRC0001	medium	staged
REC000701	PER000296	primary_performer	SRC0001	medium	staged
REC000735	PER000323	primary_performer	SRC0001	medium	staged
REC000739	PER000314	primary_performer	SRC0001	medium	staged
REC000741	PER000314	primary_performer	SRC0001	medium	staged
REC000753	PER000314	primary_performer	SRC0001	medium	staged
REC000809	PER000312	primary_performer	SRC0001	medium	staged
REC000813	PER000309	primary_performer	SRC0001	medium	staged
REC000816	PER000295	primary_performer	SRC0001	medium	staged
REC000831	PER000324	primary_performer	SRC0001	medium	staged
REC000835	PER000324	primary_performer	SRC0001	medium	staged
REC000843	PER000303	primary_performer	SRC0001	medium	staged
REC000847	PER000322	primary_performer	SRC0001	medium	staged
REC000871	PER000323	primary_performer	SRC0001	medium	staged
REC000915	PER000305	primary_performer	SRC0001	medium	staged
REC000919	PER000329	primary_performer	SRC0001	medium	staged
REC000928	PER000329	primary_performer	SRC0001	medium	staged
REC000929	PER000324	primary_performer	SRC0001	medium	staged
REC000931	PER000322	primary_performer	SRC0001	medium	staged
REC000941	PER000295	primary_performer	SRC0001	medium	staged
REC000942	PER000303	primary_performer	SRC0001	medium	staged
REC000945	PER000318	primary_performer	SRC0001	medium	staged
REC000946	PER000318	primary_performer	SRC0001	medium	staged
REC000949	PER000324	primary_performer	SRC0001	medium	staged
REC000954	PER000303	primary_performer	SRC0001	medium	staged
REC000959	PER000295	primary_performer	SRC0001	medium	staged
REC000964	PER000295	primary_performer	SRC0001	medium	staged
REC000970	PER000324	primary_performer	SRC0001	medium	staged
REC000975	PER000323	primary_performer	SRC0001	medium	staged
REC000977	PER000295	primary_performer	SRC0001	medium	staged
REC000979	PER000295	primary_performer	SRC0001	medium	staged
REC001024	PER000305	primary_performer	SRC0001	medium	staged
REC001034	PER000330	primary_performer	SRC0001	medium	staged
REC001072	PER000323	primary_performer	SRC0001	medium	staged
REC001073	PER000323	primary_performer	SRC0001	medium	staged
REC001078	PER000315	primary_performer	SRC0001	medium	staged
REC001083	PER000315	primary_performer	SRC0001	medium	staged
REC001120	PER000324	primary_performer	SRC0001	medium	staged
REC001189	PER000304	primary_performer	SRC0001	medium	staged
REC001196	PER000323	primary_performer	SRC0001	medium	staged
REC001253	PER000314	primary_performer	SRC0001	medium	staged
REC001267	PER000315	primary_performer	SRC0001	medium	staged
REC001271	PER000314	primary_performer	SRC0001	medium	staged
REC001283	PER000323	primary_performer	SRC0001	medium	staged
REC001294	PER000324	primary_performer	SRC0001	medium	staged
REC001296	PER000323	primary_performer	SRC0001	medium	staged
REC001297	PER000324	primary_performer	SRC0001	medium	staged
REC001298	PER000286	primary_performer	SRC0001	medium	staged
REC001299	PER000304	primary_performer	SRC0001	medium	staged
REC001313	PER000324	primary_performer	SRC0001	medium	staged
REC001325	PER000314	primary_performer	SRC0001	medium	staged
REC001328	PER000324	primary_performer	SRC0001	medium	staged
REC001361	PER000303	primary_performer	SRC0001	medium	staged
REC001368	PER000303	primary_performer	SRC0001	medium	staged
REC001377	PER000323	primary_performer	SRC0001	medium	staged
REC001378	PER000325	primary_performer	SRC0001	medium	staged
REC001394	PER000324	primary_performer	SRC0001	medium	staged
REC001402	PER000324	primary_performer	SRC0001	medium	staged
REC001404	PER000324	primary_performer	SRC0001	medium	staged
REC001415	PER000295	primary_performer	SRC0001	medium	staged
REC001416	PER000316	primary_performer	SRC0001	medium	staged
REC001425	PER000323	primary_performer	SRC0001	medium	staged
REC001471	PER000323	primary_performer	SRC0001	medium	staged
REC001476	PER000301	primary_performer	SRC0001	medium	staged
REC001477	PER000324	primary_performer	SRC0001	medium	staged
REC001506	PER000329	primary_performer	SRC0001	medium	staged
REC001507	PER000303	primary_performer	SRC0001	medium	staged
REC001508	PER000319	primary_performer	SRC0001	medium	staged
REC001509	PER000324	primary_performer	SRC0001	medium	staged
REC001510	PER000324	primary_performer	SRC0001	medium	staged
REC001511	PER000294	primary_performer	SRC0001	medium	staged
REC001513	PER000304	primary_performer	SRC0001	medium	staged
REC001515	PER000324	primary_performer	SRC0001	medium	staged
REC001522	PER000327	primary_performer	SRC0001	medium	staged
REC001523	PER000315	primary_performer	SRC0001	medium	staged
REC001531	PER000308	primary_performer	SRC0001	medium	staged
REC001546	PER000319	primary_performer	SRC0001	medium	staged
REC001552	PER000323	primary_performer	SRC0001	medium	staged
REC001556	PER000324	primary_performer	SRC0001	medium	staged
REC001560	PER000302	primary_performer	SRC0001	medium	staged
REC001583	PER000324	primary_performer	SRC0001	medium	staged
REC001626	PER000307	primary_performer	SRC0001	medium	staged
REC001634	PER000324	primary_performer	SRC0001	medium	staged
REC001637	PER000324	primary_performer	SRC0001	medium	staged
REC001649	PER000325	primary_performer	SRC0001	medium	staged
REC001669	PER000298	primary_performer	SRC0001	medium	staged
REC001685	PER000301	primary_performer	SRC0001	medium	staged
REC001695	PER000287	primary_performer	SRC0001	medium	staged
REC001703	PER000288	primary_performer	SRC0001	medium	staged
REC001711	PER000323	primary_performer	SRC0001	medium	staged
REC001722	PER000302	primary_performer	SRC0001	medium	staged
REC001740	PER000325	primary_performer	SRC0001	medium	staged
REC001743	PER000324	primary_performer	SRC0001	medium	staged
REC001773	PER000304	primary_performer	SRC0001	medium	staged
REC001775	PER000324	primary_performer	SRC0001	medium	staged
REC001790	PER000300	primary_performer	SRC0001	medium	staged
REC001816	PER000295	primary_performer	SRC0001	medium	staged
REC001821	PER000324	primary_performer	SRC0001	medium	staged
REC001854	PER000324	primary_performer	SRC0001	medium	staged
REC001897	PER000324	primary_performer	SRC0001	medium	staged
REC001921	PER000289	primary_performer	SRC0001	medium	staged
REC001932	PER000295	primary_performer	SRC0001	medium	staged
REC001938	PER000306	primary_performer	SRC0001	medium	staged
REC001974	PER000303	primary_performer	SRC0001	medium	staged
REC001987	PER000323	primary_performer	SRC0001	medium	staged
REC001996	PER000323	primary_performer	SRC0001	medium	staged
REC002008	PER000303	primary_performer	SRC0001	medium	staged
REC002025	PER000324	primary_performer	SRC0001	medium	staged
REC002081	PER000302	primary_performer	SRC0001	medium	staged
REC002093	PER000324	primary_performer	SRC0001	medium	staged
REC002151	PER000304	primary_performer	SRC0001	medium	staged
REC002232	PER000306	primary_performer	SRC0001	medium	staged
REC002236	PER000323	primary_performer	SRC0001	medium	staged
REC002247	PER000303	primary_performer	SRC0001	medium	staged
REC002249	PER000325	primary_performer	SRC0001	medium	staged
REC002250	PER000323	primary_performer	SRC0001	medium	staged
REC002255	PER000324	primary_performer	SRC0001	medium	staged
REC002266	PER000295	primary_performer	SRC0001	medium	staged
REC002285	PER000328	primary_performer	SRC0001	medium	staged
REC002289	PER000332	primary_performer	SRC0001	medium	staged
REC002297	PER000304	primary_performer	SRC0001	medium	staged
REC002311	PER000298	primary_performer	SRC0001	medium	staged
REC002343	PER000303	primary_performer	SRC0001	medium	staged
REC002361	PER000324	primary_performer	SRC0001	medium	staged
REC002369	PER000324	primary_performer	SRC0001	medium	staged
REC002397	PER000325	primary_performer	SRC0001	medium	staged
REC002419	PER000295	primary_performer	SRC0001	medium	staged
REC002458	PER000323	primary_performer	SRC0001	medium	staged
REC002505	PER000303	primary_performer	SRC0001	medium	staged
REC002540	PER000324	primary_performer	SRC0001	medium	staged
REC002548	PER000328	primary_performer	SRC0001	medium	staged
REC002573	PER000303	primary_performer	SRC0001	medium	staged
REC002604	PER000324	primary_performer	SRC0001	medium	staged
REC002618	PER000323	primary_performer	SRC0001	medium	staged
REC002623	PER000295	primary_performer	SRC0001	medium	staged
REC002627	PER000304	primary_performer	SRC0001	medium	staged
REC002641	PER000295	primary_performer	SRC0001	medium	staged
REC002643	PER000325	primary_performer	SRC0001	medium	staged
REC002655	PER000332	primary_performer	SRC0001	medium	staged
REC002667	PER000323	primary_performer	SRC0001	medium	staged
REC002668	PER000323	primary_performer	SRC0001	medium	staged
REC002694	PER000295	primary_performer	SRC0001	medium	staged
REC002727	PER000324	primary_performer	SRC0001	medium	staged
REC002742	PER000311	primary_performer	SRC0001	medium	staged
REC002798	PER000313	primary_performer	SRC0001	medium	staged
REC002805	PER000320	primary_performer	SRC0001	medium	staged
REC002812	PER000304	primary_performer	SRC0001	medium	staged
REC002923	PER000324	primary_performer	SRC0001	medium	staged
REC002924	PER000304	primary_performer	SRC0001	medium	staged
REC002944	PER000297	primary_performer	SRC0001	medium	staged
REC002969	PER000324	primary_performer	SRC0001	medium	staged
REC002979	PER000324	primary_performer	SRC0001	medium	staged
REC002982	PER000324	primary_performer	SRC0001	medium	staged
REC002998	PER000320	primary_performer	SRC0001	medium	staged
REC003012	PER000304	primary_performer	SRC0001	medium	staged
REC003050	PER000327	primary_performer	SRC0001	medium	staged
REC003058	PER000283	primary_performer	SRC0001	medium	staged
REC003062	PER000324	primary_performer	SRC0001	medium	staged
REC003082	PER000324	primary_performer	SRC0001	medium	staged
REC003086	PER000323	primary_performer	SRC0001	medium	staged
REC003087	PER000304	primary_performer	SRC0001	medium	staged
REC003088	PER000303	primary_performer	SRC0001	medium	staged
REC003100	PER000303	primary_performer	SRC0001	medium	staged
REC003104	PER000303	primary_performer	SRC0001	medium	staged
REC003107	PER000295	primary_performer	SRC0001	medium	staged
REC003118	PER000321	primary_performer	SRC0001	medium	staged
REC003157	PER000295	primary_performer	SRC0001	medium	staged
REC003168	PER000304	primary_performer	SRC0001	medium	staged
REC003170	PER000324	primary_performer	SRC0001	medium	staged
REC003173	PER000325	primary_performer	SRC0001	medium	staged
REC003190	PER000324	primary_performer	SRC0001	medium	staged
REC003203	PER000304	primary_performer	SRC0001	medium	staged
REC003204	PER000295	primary_performer	SRC0001	medium	staged
REC003218	PER000314	primary_performer	SRC0001	medium	staged
REC003219	PER000324	primary_performer	SRC0001	medium	staged
REC003231	PER000307	primary_performer	SRC0001	medium	staged
REC003240	PER000327	primary_performer	SRC0001	medium	staged
REC003248	PER000322	primary_performer	SRC0001	medium	staged
REC003288	PER000324	primary_performer	SRC0001	medium	staged
REC003331	PER000290	primary_performer	SRC0001	medium	staged
REC003353	PER000314	primary_performer	SRC0001	medium	staged
REC003367	PER000324	primary_performer	SRC0001	medium	staged
REC003415	PER000289	primary_performer	SRC0001	medium	staged
REC003438	PER000324	primary_performer	SRC0001	medium	staged
REC003461	PER000283	primary_performer	SRC0001	medium	staged
REC003473	PER000324	primary_performer	SRC0001	medium	staged
REC003485	PER000283	primary_performer	SRC0001	medium	staged
REC003498	PER000308	primary_performer	SRC0001	medium	staged
REC003560	PER000326	primary_performer	SRC0001	medium	staged
REC003581	PER000324	primary_performer	SRC0001	medium	staged
REC003613	PER000293	primary_performer	SRC0001	medium	staged
REC003619	PER000323	primary_performer	SRC0001	medium	staged
REC003622	PER000304	primary_performer	SRC0001	medium	staged
REC003634	PER000323	primary_performer	SRC0001	medium	staged
REC003638	PER000324	primary_performer	SRC0001	medium	staged
REC003640	PER000322	primary_performer	SRC0001	medium	staged
REC003656	PER000331	primary_performer	SRC0001	medium	staged
REC003668	PER000324	primary_performer	SRC0001	medium	staged
REC003671	PER000314	primary_performer	SRC0001	medium	staged
REC003693	PER000324	primary_performer	SRC0001	medium	staged
REC003715	PER000295	primary_performer	SRC0001	medium	staged
REC003717	PER000324	primary_performer	SRC0001	medium	staged
REC003718	PER000313	primary_performer	SRC0001	medium	staged
REC003721	PER000332	primary_performer	SRC0001	medium	staged
REC003727	PER000304	primary_performer	SRC0001	medium	staged
REC003740	PER000332	primary_performer	SRC0001	medium	staged
REC003758	PER000314	primary_performer	SRC0001	medium	staged
REC003791	PER000325	primary_performer	SRC0001	medium	staged
REC003792	PER000304	primary_performer	SRC0001	medium	staged
REC003860	PER000286	primary_performer	SRC0001	medium	staged
REC003870	PER000324	primary_performer	SRC0001	medium	staged
REC003899	PER000323	primary_performer	SRC0001	medium	staged
REC003906	PER000303	primary_performer	SRC0001	medium	staged
REC003916	PER000321	primary_performer	SRC0001	medium	staged
REC003927	PER000324	primary_performer	SRC0001	medium	staged
REC003929	PER000324	primary_performer	SRC0001	medium	staged
REC003939	PER000324	primary_performer	SRC0001	medium	staged
REC003954	PER000314	primary_performer	SRC0001	medium	staged
REC003963	PER000323	primary_performer	SRC0001	medium	staged
REC003968	PER000310	primary_performer	SRC0001	medium	staged
REC003980	PER000324	primary_performer	SRC0001	medium	staged
REC003984	PER000329	primary_performer	SRC0001	medium	staged
REC004057	PER000323	primary_performer	SRC0001	medium	staged
REC004102	PER000317	primary_performer	SRC0001	medium	staged
REC004104	PER000312	primary_performer	SRC0001	medium	staged
REC004105	PER000324	primary_performer	SRC0001	medium	staged
REC004107	PER000325	primary_performer	SRC0001	medium	staged
REC004114	PER000293	primary_performer	SRC0001	medium	staged
REC004158	PER000322	primary_performer	SRC0001	medium	staged
REC004161	PER000324	primary_performer	SRC0001	medium	staged
REC004193	PER000324	primary_performer	SRC0001	medium	staged
REC004224	PER000324	primary_performer	SRC0001	medium	staged
REC004258	PER000305	primary_performer	SRC0001	medium	staged
REC004329	PER000303	primary_performer	SRC0001	medium	staged
REC004341	PER000325	primary_performer	SRC0001	medium	staged
REC004347	PER000324	primary_performer	SRC0001	medium	staged
REC004395	PER000324	primary_performer	SRC0001	medium	staged
REC004398	PER000303	primary_performer	SRC0001	medium	staged
REC004400	PER000314	primary_performer	SRC0001	medium	staged
REC004403	PER000316	primary_performer	SRC0001	medium	staged
REC004505	PER000303	primary_performer	SRC0001	medium	staged
REC004506	PER000317	primary_performer	SRC0001	medium	staged
REC004507	PER000304	primary_performer	SRC0001	medium	staged
REC004508	PER000295	primary_performer	SRC0001	medium	staged
REC004546	PER000324	primary_performer	SRC0001	medium	staged
REC004581	PER000291	primary_performer	SRC0001	medium	staged
REC004605	PER000324	primary_performer	SRC0001	medium	staged
REC004619	PER000323	primary_performer	SRC0001	medium	staged
REC004660	PER000324	primary_performer	SRC0001	medium	staged
REC004668	PER000292	primary_performer	SRC0001	medium	staged
REC004673	PER000312	primary_performer	SRC0001	medium	staged
REC004690	PER000293	primary_performer	SRC0001	medium	staged
REC004694	PER000309	primary_performer	SRC0001	medium	staged
REC004775	PER000293	primary_performer	SRC0001	medium	staged
REC004784	PER000304	primary_performer	SRC0001	medium	staged
REC004785	PER000330	primary_performer	SRC0001	medium	staged
REC004797	PER000314	primary_performer	SRC0001	medium	staged
REC004835	PER000324	primary_performer	SRC0001	medium	staged
REC004853	PER000304	primary_performer	SRC0001	medium	staged
REC004868	PER000305	primary_performer	SRC0001	medium	staged
REC004882	PER000325	primary_performer	SRC0001	medium	staged
REC004905	PER000331	primary_performer	SRC0001	medium	staged
REC004914	PER000295	primary_performer	SRC0001	medium	staged
REC004915	PER000324	primary_performer	SRC0001	medium	staged
REC004921	PER000303	primary_performer	SRC0001	medium	staged
REC004930	PER000311	primary_performer	SRC0001	medium	staged
REC004960	PER000291	primary_performer	SRC0001	medium	staged
REC004969	PER000292	primary_performer	SRC0001	medium	staged
REC004974	PER000287	primary_performer	SRC0001	medium	staged
REC004975	PER000324	primary_performer	SRC0001	medium	staged
REC004983	PER000312	primary_performer	SRC0001	medium	staged
REC004992	PER000324	primary_performer	SRC0001	medium	staged
REC005027	PER000322	primary_performer	SRC0001	medium	staged
REC005029	PER000325	primary_performer	SRC0001	medium	staged
REC005031	PER000324	primary_performer	SRC0001	medium	staged
REC005033	PER000303	primary_performer	SRC0001	medium	staged
REC005068	PER000324	primary_performer	SRC0001	medium	staged
REC005114	PER000323	primary_performer	SRC0001	medium	staged
REC005115	PER000323	primary_performer	SRC0001	medium	staged
REC005120	PER000299	primary_performer	SRC0001	medium	staged
REC005127	PER000324	primary_performer	SRC0001	medium	staged
REC005134	PER000332	primary_performer	SRC0001	medium	staged
REC005139	PER000324	primary_performer	SRC0001	medium	staged
REC005174	PER000323	primary_performer	SRC0001	medium	staged
REC005176	PER000295	primary_performer	SRC0001	medium	staged
REC005228	PER000295	primary_performer	SRC0001	medium	staged
REC005234	PER000324	primary_performer	SRC0001	medium	staged
REC005247	PER000324	primary_performer	SRC0001	medium	staged
REC005251	PER000323	primary_performer	SRC0001	medium	staged
REC005253	PER000314	primary_performer	SRC0001	medium	staged
REC005268	PER000322	primary_performer	SRC0001	medium	staged
REC005277	PER000293	primary_performer	SRC0001	medium	staged
REC005284	PER000314	primary_performer	SRC0001	medium	staged
REC005314	PER000295	primary_performer	SRC0001	medium	staged
REC005329	PER000324	primary_performer	SRC0001	medium	staged
REC005333	PER000324	primary_performer	SRC0001	medium	staged
REC005352	PER000324	primary_performer	SRC0001	medium	staged
REC005381	PER000304	primary_performer	SRC0001	medium	staged
REC005385	PER000304	primary_performer	SRC0001	medium	staged
REC005407	PER000302	primary_performer	SRC0001	medium	staged
REC005411	PER000295	primary_performer	SRC0001	medium	staged
REC005417	PER000324	primary_performer	SRC0001	medium	staged
REC005455	PER000305	primary_performer	SRC0001	medium	staged
REC005456	PER000305	primary_performer	SRC0001	medium	staged
REC005491	PER000324	primary_performer	SRC0001	medium	staged
REC005501	PER000325	primary_performer	SRC0001	medium	staged
